Title,Course Code,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
Introduction to Logic Design,ENG EC 311,SPECIAL,,,,,"Undergraduate Prerequisites: Sophomore standing. - Introduction to hardware building blocks used in digital computers. Boolean algebra, combinatorial and sequential circuits: analysis and design. Adders, multipliers, decoders, encoders, multiplexors. Programmable logic devices: read- only memory, programmable arrays, Verilog. Counters and registers. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Software Engineering,ENG EC 327,ENG EK 125,,,,,"Undergraduate Prerequisites: (ENGEK 125) - This course aims to introduce students to software design, programming techniques, data structures, and software engineering principles. The course is structured bottom up, beginning with basic hardware followed by an understanding of machine language that controls the hardware and the assembly language that organizes that control. It then proceeds through fundamental elements of functional programming languages, using C as the case example, and continues with the principles of object-oriented programming, as principally embodied in C++ but also its daughter languages Java, C#, and objective C. The course will conclude with an introduction to elementary data structures and algorithmic analysis. Throughout, the course develops core competencies in software engineering, including programming style, optimization, debugging, compilation, and program management, utilizing a variety of Integrated Development Environments and operating systems. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Applied Algorithms for Engineers,ENG EC 330,ENG EC 327RECOMMENDED:CAS MA 193,,,,,"Undergraduate Prerequisites: (ENGEC327) Recommended: CAS MA 193 - Introduction to the general concept of algorithms. Efficiency and run-time of algorithms. Graph algorithms, priority queues, search trees. Various approaches to design of algorithms and data structures, together with their applications to numerical and non-numerical problems. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Signals and Systems,ENG EC 401,CAS MA 226,ENG EK 307,,,,"Undergraduate Prerequisites: (CASMA226 & ENGEK307) - Cannot be taken for credit in addition to ENG BE 401. Continuous-time and discrete-time signals and systems. Convolution sum, convolution integral. Linearity, time-invariance, causality, and stability of systems. Frequency domain analysis of signals and systems. Filtering, sampling, and modulation. Laplace transform, z-transform, pole-zero plots. Linear feedback systems. Includes lab. Cannot be taken for credit in addition to ENG BE 403. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Control Systems,ENG EC 402,CAS MA 226,ENG EK 307,ENG EC 401,,,"Undergraduate Prerequisites: (CASMA226 & ENGEK307 & ENGEC401) - Analysis of linear feedback systems, their characteristics, performance, and stability. The Routh-Hurwitz, root-locus, Bode, and Nyquist techniques. Design and compensation of feedback control systems. Cannot be taken for credit in addition to ENG ME 403, ENG ME 404, or ENG BE 404. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Electronics,ENG EC 410,ENG EK 307,,,,,"Undergraduate Prerequisites: (ENGEK307) - Principles of diode, BJT, and MOSFET circuits. Graphical and analytical means of analysis. Piecewise linear modeling; amplifiers; digital inverters and logic gates. Biasing and small-signal analysis, microelectronic design techniques. Time-domain and frequency domain analysis and design. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Analog Electronics,ENG EC 412,ENG EC 410,,,,,"Undergraduate Prerequisites: (ENGEC410) - Continuation of ENG EC 410. Topics include detailed analysis of differential amplifiers, design and principles of operational amplifier including multistage circuit structure, BJT, MOSFET, CMOS, and BiCMOS design principles, active filters and oscillators, negative and positive feedback, and power devices. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Computer Organization,ENG EC 413,ENG EC 311,,,,,"Undergraduate Prerequisites: (ENGEC311) - Introduction to the fundamentals and design of computer systems. Topics covered include computer instruction sets, assembly language programming, arithmetic circuits, CPU design (data path and control, pipelining), performance evaluation, memory devices, memory systems including caching and virtual memory, and I/O. Project using design automation tools. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Machine Learning,ENG EC 414,ENG EK 103,ENG EK 125,ENG EK 381,,,"Undergraduate Prerequisites: (ENGEK103 & ENGEK125 & ENGEK381) - Linear regression. Maximum likelihood and maximum a posteriori estimation. Classification techniques, including naive Bayes, k-nearest neighbors, logistic regression, and support vector machines. Data visualization and feature extraction, including principal components analysis and linear projections. Clustering. Introduction to neural networks and deep learning. Discussion of other modern analysis methods. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Electric Energy Systems: Adapting to Renewable Resources,ENG EC 417,ENG EK 307,,,,,"Undergraduate Prerequisites: (ENGEK307) - This course will present a detailed perspective of electric power systems from generation, transmission, storage, to distribution to end users. Significant emphasis will be placed on methodologies for reliable and efficient transmission and distribution of power over the grid including challenges for adapting to renewable resources such as photovoltaics and wind. Conventional approaches will be presented with emphasis to future technology such as the ""smart grid"". Analysis of 3-phase power will be presented using numerous examples. Items such as power system stability, security, reliability will be covered. Optimization methods, models, simulation techniques, monitoring and control, grid storage technologies, and micro-grids will also be discussed. Power electronics will be introduced specifically in reference to high voltage circuits. Finally, planning for large numbers of electric vehicles will present new challenges to the effective distribution of power which will be discussed from both centralized and decentralized approaches. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
